datetime,open,close,high,low,volume,openinterest
20210414  13:25:00,381.0,409.62,410.0,380.97,146794,
20210414  13:30:00,409.62,424.76,429.54,406.37,45862,
20210414  13:35:00,424.94,398.94,424.94,390.0,33432,
20210414  13:40:00,399.0,398.86,403.0,392.12,16228,
20210414  13:45:00,398.89,387.11,399.05,386.58,13959,
20210414  13:50:00,387.85,384.83,390.0,382.3,14806,
20210414  13:55:00,384.06,375.63,385.5,375.0,17392,
20210414  14:00:00,375.86,378.53,380.0,375.0,10383,
20210414  14:05:00,378.48,365.5,380.0,365.01,13121,
20210414  14:10:00,365.3,368.12,374.0,362.01,15350,
20210414  14:15:00,368.43,368.98,371.8,365.1,6902,
20210414  14:20:00,368.67,367.76,371.0,362.47,7086,
20210414  14:25:00,367.63,364.4,367.7,361.0,7263,
20210414  14:30:00,364.36,356.07,364.45,355.88,10413,
20210414  14:35:00,356.47,353.0,358.14,352.15,8664,
20210414  14:40:00,353.34,351.14,355.0,350.0,12934,
20210414  14:45:00,350.97,342.63,352.03,341.16,20718,
20210414  14:50:00,342.46,332.0,344.5,332.0,14952,
20210414  14:55:00,332.08,329.66,336.0,325.0,16363,
20210414  15:00:00,329.08,312.01,331.1,311.32,16400,
20210414  15:05:00,312.01,310.2,322.4,310.0,14742,
20210414  15:10:00,311.24,331.36,332.9,310.0,15724,
20210414  15:15:00,331.0,337.15,339.69,325.23,12182,
20210414  15:20:00,337.13,338.93,339.98,331.0,8648,
20210414  15:25:00,339.17,331.62,344.78,331.0,9374,
20210414  15:30:00,331.31,334.33,337.0,330.0,6158,
20210414  15:35:00,334.0,327.17,337.0,323.4,7507,
20210414  15:40:00,327.17,334.04,334.4,323.0,6482,
20210414  15:45:00,334.01,326.26,335.03,326.0,6211,
20210414  15:50:00,326.38,328.07,328.5,320.0,8037,
20210414  15:55:00,328.0,327.87,334.22,327.3,8464,
20210414  16:00:00,327.87,332.14,335.0,327.5,3088,
20210414  16:05:00,332.05,330.53,332.05,327.55,346,
20210414  16:10:00,330.48,328.25,332.5,328.12,396,
20210414  16:15:00,328.69,332.67,333.32,328.69,448,
20210414  16:20:00,332.77,332.01,333.98,331.55,125,
20210414  16:25:00,332.04,331.89,332.55,329.97,137,
20210414  16:30:00,331.96,333.44,334.45,331.81,145,
20210414  16:35:00,333.01,333.9,335.0,333.0,298,
20210414  16:40:00,333.97,336.0,336.89,333.96,263,
20210414  16:45:00,335.94,335.75,337.49,334.97,318,
20210414  16:50:00,335.58,334.5,335.78,333.4,148,
20210414  16:55:00,334.88,335.99,336.25,334.03,143,
20210414  17:00:00,335.06,338.02,338.89,335.0,175,
20210414  17:05:00,338.65,337.2,339.29,337.1,253,
20210414  17:10:00,338.49,340.4,341.29,337.88,408,
20210414  17:15:00,340.11,340.01,340.89,339.15,305,
20210414  17:20:00,340.2,340.0,340.45,338.22,223,
20210414  17:25:00,340.0,340.0,341.8,339.5,268,
20210414  17:30:00,340.17,342.2,343.5,339.7,204,
20210414  17:35:00,342.2,343.5,343.77,341.1,220,
20210414  17:40:00,343.75,347.0,347.6,343.22,325,
20210414  17:45:00,347.23,348.5,350.0,346.51,634,
20210414  17:50:00,348.76,346.25,350.99,346.15,584,
20210414  17:55:00,347.0,345.51,348.5,344.3,365,
20210414  18:00:00,345.51,347.6,347.88,345.34,191,
20210414  18:05:00,347.84,345.2,347.93,344.0,239,
20210414  18:10:00,345.33,344.32,346.5,342.52,186,
20210414  18:15:00,344.39,342.52,344.52,342.52,147,
20210414  18:20:00,343.0,342.5,344.0,342.0,111,
20210414  18:25:00,342.04,340.0,342.5,339.13,390,
20210414  18:30:00,340.27,342.6,343.0,340.0,276,
20210414  18:35:00,342.93,343.0,343.74,342.3,60,
20210414  18:40:00,343.0,343.06,343.44,341.6,99,
20210414  18:45:00,343.1,343.05,343.89,342.8,80,
20210414  18:50:00,343.49,343.5,343.69,343.0,55,
20210414  18:55:00,343.5,343.4,344.0,343.4,128,
20210414  19:00:00,343.4,343.9,344.0,343.2,104,
20210414  19:05:00,344.0,344.0,345.1,343.99,176,
20210414  19:10:00,343.8,344.0,344.47,343.4,43,
20210414  19:15:00,343.4,342.0,343.52,341.01,122,
20210414  19:20:00,341.99,341.5,342.1,341.41,26,
20210414  19:25:00,341.15,342.51,342.51,340.5,72,
20210414  19:30:00,342.0,342.21,342.7,342.0,28,
20210414  19:35:00,342.2,342.09,343.0,342.04,36,
20210414  19:40:00,342.17,341.5,342.78,341.08,40,
20210414  19:45:00,341.48,341.5,342.0,341.11,25,
20210414  19:50:00,341.99,339.2,341.99,339.0,143,
20210414  19:55:00,339.05,338.0,339.99,338.0,124,
20210415  04:00:00,367.0,361.5,369.0,358.0,405,
20210415  04:05:00,361.62,362.5,364.0,360.33,141,
20210415  04:10:00,362.98,363.81,364.0,362.0,49,
20210415  04:15:00,363.41,358.2,363.41,358.2,217,
20210415  04:20:00,358.5,360.0,360.0,357.1,71,
20210415  04:25:00,359.99,360.0,360.5,359.99,62,
20210415  04:30:00,360.44,360.77,361.0,359.8,25,
20210415  04:35:00,360.8,361.0,361.0,360.79,19,
20210415  04:40:00,360.95,361.98,362.0,360.58,30,
20210415  04:45:00,362.0,363.5,363.5,362.0,69,
