datetime,open,close,high,low,volume,openinterest
20201130  04:00:00,44.65,44.64,44.65,44.64,40,
20201130  04:05:00,44.12,44.28,44.3,44.05,12,
20201130  04:10:00,44.28,44.28,44.28,44.28,0,
20201130  04:15:00,44.35,44.33,44.35,44.33,3,
20201130  04:20:00,44.5,44.33,44.5,44.33,3,
20201130  04:25:00,44.33,44.33,44.33,44.33,0,
20201130  04:30:00,44.25,44.25,44.25,44.25,3,
20201130  04:35:00,44.25,44.3,44.3,44.23,10,
20201130  04:40:00,44.3,44.3,44.3,44.3,1,
20201130  04:45:00,44.36,44.49,44.49,44.36,6,
20201130  04:50:00,44.49,44.49,44.49,44.49,0,
20201130  04:55:00,44.49,44.36,44.49,44.36,6,
20201130  05:00:00,44.35,44.35,44.35,44.35,3,
20201130  05:05:00,44.35,44.35,44.35,44.35,0,
20201130  05:10:00,44.62,44.62,44.62,44.62,2,
20201130  05:15:00,44.51,44.51,44.51,44.51,1,
20201130  05:20:00,44.51,44.51,44.51,44.51,0,
20201130  05:25:00,44.51,44.51,44.51,44.51,0,
20201130  05:30:00,44.54,44.5,44.54,44.5,8,
20201130  05:35:00,44.52,44.52,44.52,44.52,1,
20201130  05:40:00,44.52,44.52,44.52,44.52,6,
20201130  05:45:00,44.51,44.51,44.51,44.51,1,
20201130  05:50:00,44.51,44.51,44.51,44.51,0,
20201130  05:55:00,44.37,44.37,44.37,44.37,2,
20201130  06:00:00,44.49,44.49,44.49,44.49,1,
20201130  06:05:00,44.48,44.48,44.48,44.48,1,
20201130  06:10:00,44.37,44.5,44.5,44.35,12,
20201130  06:15:00,44.5,44.51,44.51,44.5,6,
20201130  06:20:00,44.52,44.59,44.59,44.52,2,
20201130  06:25:00,44.59,44.59,44.59,44.59,0,
20201130  06:30:00,44.59,44.59,44.59,44.59,0,
20201130  06:35:00,44.6,44.6,44.6,44.6,2,
20201130  06:40:00,44.56,44.55,44.56,44.55,3,
20201130  06:45:00,44.55,44.55,44.55,44.55,0,
20201130  06:50:00,44.56,44.52,44.56,44.52,8,
20201130  06:55:00,44.52,44.52,44.52,44.52,0,
20201130  07:00:00,44.54,44.54,44.54,44.54,1,
20201130  07:05:00,44.51,44.5,44.51,44.5,7,
20201130  07:10:00,44.5,44.5,44.5,44.5,0,
20201130  07:15:00,44.4,44.4,44.4,44.4,1,
20201130  07:20:00,44.4,44.4,44.4,44.4,0,
20201130  07:25:00,44.4,44.4,44.4,44.4,0,
20201130  07:30:00,44.48,44.48,44.48,44.48,1,
20201130  07:35:00,44.49,44.49,44.49,44.49,1,
20201130  07:40:00,44.49,44.48,44.49,44.48,10,
20201130  07:45:00,44.42,44.4,44.42,44.38,5,
20201130  07:50:00,44.4,44.4,44.4,44.4,0,
20201130  07:55:00,44.47,44.47,44.47,44.47,1,
20201130  08:00:00,44.53,44.6,44.6,44.53,14,
20201130  08:05:00,44.58,44.58,44.58,44.58,1,
20201130  08:10:00,44.57,44.56,44.57,44.56,2,
20201130  08:15:00,44.52,44.44,44.52,44.44,10,
20201130  08:20:00,44.53,44.53,44.53,44.53,1,
20201130  08:25:00,44.43,44.43,44.43,44.43,2,
20201130  08:30:00,44.45,44.55,44.55,44.44,12,
20201130  08:35:00,44.55,44.55,44.55,44.55,1,
20201130  08:40:00,44.52,44.6,44.6,44.52,11,
20201130  08:45:00,44.6,44.59,44.6,44.59,9,
20201130  08:50:00,44.59,44.59,44.59,44.59,0,
20201130  08:55:00,44.57,44.61,44.63,44.57,3,
20201130  09:00:00,44.64,44.7,44.7,44.64,24,
20201130  09:05:00,44.72,44.88,44.9,44.72,7,
20201130  09:10:00,44.87,44.6,44.87,44.6,43,
20201130  09:15:00,44.5,44.5,44.5,44.5,15,
20201130  09:20:00,44.51,44.51,44.51,44.51,5,
20201130  09:25:00,44.56,44.27,44.56,44.26,36,
20201130  09:30:00,44.26,42.94,44.53,42.86,2018,
20201130  09:35:00,43.14,42.93,43.5,42.73,1030,
20201130  09:40:00,42.87,42.76,43.2,42.67,2000,
20201130  09:45:00,42.76,42.77,42.99,42.33,1641,
20201130  09:50:00,42.74,43.06,43.3,42.47,1497,
20201130  09:55:00,43.1,43.12,43.17,42.82,531,
20201130  10:00:00,43.14,42.9,43.24,42.86,535,
20201130  10:05:00,42.91,42.95,43.0,42.81,201,
20201130  10:10:00,42.87,42.81,42.9,42.71,403,
20201130  10:15:00,42.77,42.63,42.82,42.35,896,
20201130  10:20:00,42.6,42.54,42.82,42.44,296,
