,tradeId,type1,datetime1,price1,type2,datetime2,price2,quantity,profit,entryBarIndex,exitBarIndex
0,1,Entry Short,"20201203, 12:50:00",42.51,Exit Short,"20201203, 13:50:00",42.71,235,-47.0,488,500
1,2,Entry Short,"20201211, 12:15:00",43.62,Exit Short,"20201211, 12:30:00",43.03,228,134.52,1631,1634
2,3,Entry Short,"20201214, 13:00:00",42.71,Exit Short,"20201214, 15:55:00",41.13,236,372.88,1832,1867
3,4,Entry Short,"20201215, 12:25:00",40.76,Exit Short,"20201215, 13:00:00",41.26,256,-128.0,2017,2024
4,5,Entry Short,"20201222, 13:00:00",40.83,Exit Short,"20201222, 13:20:00",40.62,253,53.13,2981,2985
5,6,Entry Short,"20201224, 12:20:00",37.98,Exit Short,"20201224, 13:15:00",38.08,273,-27.3,3355,3366
6,7,Entry Long,"20201230, 14:50:00",42.75,Exit Long,"20201230, 15:35:00",42.41,242,-82.28,3925,3934
7,8,Entry Long,"20201231, 11:15:00",47.01,Exit Long,"20201231, 12:00:00",46.46,218,-119.9,4074,4083
8,9,Entry Long,"20201231, 12:10:00",47.01,Exit Long,"20201231, 12:35:00",46.53,215,-103.2,4085,4090
9,10,Entry Long,"20210105, 11:15:00",57.85,Exit Long,"20210105, 13:00:00",58.94,173,188.57,4458,4479
10,11,Entry Long,"20210105, 13:05:00",59.19,Exit Long,"20210105, 14:00:00",58.64,173,-95.15,4480,4491
11,12,Entry Long,"20210108, 11:25:00",65.66,Exit Long,"20210108, 13:05:00",65.41,154,-38.5,5036,5056
12,13,Entry Long,"20210112, 12:30:00",69.95,Exit Long,"20210112, 13:35:00",70.48,144,76.32,5433,5446
13,14,Entry Long,"20210112, 13:40:00",70.55,Exit Long,"20210112, 13:50:00",70.13,144,-60.48,5447,5449
14,15,Entry Long,"20210112, 13:55:00",70.48,Exit Long,"20210112, 14:10:00",70.08,143,-57.2,5450,5453
15,16,Entry Short,"20210113, 12:35:00",67.35,Exit Short,"20210113, 13:05:00",68.21,149,-128.14,5626,5632
16,17,Entry Short,"20210113, 13:45:00",67.77,Exit Short,"20210113, 14:00:00",68.38,147,-89.67,5640,5643
17,18,Entry Long,"20210114, 13:05:00",77.65,Exit Long,"20210114, 13:10:00",77.06,126,-74.34,5824,5825
18,19,Entry Long,"20210119, 10:50:00",81.61,Exit Long,"20210119, 14:05:00",83.1,119,177.31,6181,6220
19,20,Entry Long,"20210128, 15:05:00",104.83,Exit Long,"20210128, 15:25:00",102.5,94,-219.02,7576,7580
20,21,Entry Long,"20210129, 11:55:00",109.72,Exit Long,"20210129, 12:20:00",106.79,88,-257.84,7730,7735
21,22,Entry Short,"20210203, 15:20:00",115.65,Exit Short,"20210203, 15:30:00",119.0,81,-271.35,8347,8349
22,23,Entry Long,"20210204, 11:20:00",128.56,Exit Long,"20210204, 11:50:00",128.2,71,-25.56,8491,8497
23,24,Entry Long,"20210204, 11:55:00",128.62,Exit Long,"20210204, 12:05:00",128.14,71,-34.08,8498,8500
24,25,Entry Long,"20210208, 12:10:00",125.05,Exit Long,"20210208, 13:35:00",125.09,72,2.88,8885,8902
25,26,Entry Long,"20210210, 10:35:00",188.89,Exit Long,"20210210, 10:50:00",183.83,48,-242.88,9250,9253
26,27,Entry Long,"20210210, 12:20:00",196.6,Exit Long,"20210210, 13:15:00",192.5,45,-184.5,9271,9282
27,28,Entry Long,"20210216, 12:15:00",173.1,Exit Long,"20210216, 13:10:00",182.15,50,452.5,9846,9857
28,29,Entry Long,"20210216, 13:45:00",179.62,Exit Long,"20210216, 16:00:00",191.0,50,569.0,9864,9891
29,30,Entry Short,"20210302, 12:45:00",163.75,Exit Short,"20210302, 16:00:00",157.31,59,379.96,11772,11811
30,31,Entry Short,"20210303, 12:00:00",157.16,Exit Short,"20210303, 12:55:00",158.64,64,-94.72,11955,11966
31,32,Entry Short,"20210303, 13:05:00",157.03,Exit Short,"20210303, 14:10:00",150.2,63,430.29,11968,11981
32,33,Entry Long,"20210309, 13:50:00",150.07,Exit Long,"20210309, 14:10:00",149.9,69,-11.73,12745,12749
33,34,Entry Long,"20210309, 14:20:00",149.84,Exit Long,"20210309, 15:25:00",155.97,69,422.97,12751,12764
34,35,Entry Short,"20210315, 13:05:00",155.97,Exit Short,"20210315, 15:40:00",154.04,69,133.17,13504,13535
35,36,Entry Short,"20210316, 13:15:00",150.53,Exit Short,"20210316, 15:50:00",142.9,72,549.36,13698,13729
36,37,Entry Short,"20210319, 14:45:00",134.0,Exit Short,"20210319, 15:40:00",132.52,86,127.28,14292,14303
37,38,Entry Short,"20210326, 12:35:00",106.97,Exit Short,"20210326, 14:25:00",104.27,109,294.3,15226,15248
38,39,Entry Long,"20210329, 13:55:00",128.43,Exit Long,"20210329, 14:35:00",125.94,92,-229.08,15434,15442
39,40,Entry Long,"20210330, 12:55:00",134.24,Exit Long,"20210330, 13:35:00",133.88,87,-31.32,15614,15622
40,41,Entry Long,"20210330, 14:10:00",134.36,Exit Long,"20210330, 15:45:00",136.06,86,146.2,15629,15648
41,42,Entry Long,"20210331, 11:00:00",144.66,Exit Long,"20210331, 15:05:00",159.28,81,1184.22,15783,15832
42,43,Entry Short,"20210401, 12:10:00",147.73,Exit Short,"20210401, 13:10:00",150.78,87,-265.35,15989,16001
43,44,Entry Short,"20210407, 12:55:00",142.27,Exit Short,"20210407, 13:10:00",143.17,89,-80.1,16573,16576
44,45,Entry Long,"20210408, 13:55:00",154.14,Exit Long,"20210408, 16:00:00",159.0,82,398.52,16777,16802
45,46,Entry Short,"20210412, 11:15:00",148.32,Exit Short,"20210412, 14:20:00",146.2,88,186.56,17128,17165
46,47,Entry Short,"20210413, 13:30:00",143.18,Exit Short,"20210413, 13:55:00",144.39,92,-111.32,17345,17350
47,48,Entry Short,"20210413, 14:30:00",143.63,Exit Short,"20210413, 14:40:00",143.63,91,0.0,17357,17359
48,49,Entry Long,"20210414, 11:35:00",151.69,Exit Long,"20210414, 12:45:00",156.86,86,444.62,17514,17528
49,50,Entry Short,"20210415, 12:05:00",146.83,Exit Short,"20210415, 13:40:00",146.16,92,61.64,17712,17731
50,51,Entry Long,"20210416, 12:40:00",153.04,Exit Long,"20210416, 12:55:00",151.65,89,-123.71,17911,17914
51,52,Entry Long,"20210416, 13:30:00",152.61,Exit Long,"20210416, 13:35:00",151.94,88,-58.96,17921,17922
52,53,Entry Long,"20210419, 15:30:00",174.35,Exit Long,"20210419, 16:00:00",177.92,77,274.89,18137,18143
53,54,Entry Short,"20210420, 12:35:00",143.6,Exit Short,"20210420, 15:55:00",136.94,95,632.7,18294,18334
