date,open,close,high,low,volume
20201224  04:00,642.5,642,644.2,642,9
20201224  04:05,643,643,643,643,8
20201224  04:10,643,643,643,643,0
20201224  04:15,643,643,643,643,0
20201224  04:20,643,643,643,643,0
20201224  04:25,643,643,643,643,0
20201224  04:30,644.5,644.88,644.88,644.5,3
20201224  04:35,645.01,645.01,645.01,645.01,5
20201224  04:40,645.01,645.01,645.01,645.01,0
20201224  04:45,645.01,645.01,645.01,645.01,0
20201224  04:50,645.01,645.01,645.01,645.01,0
20201224  04:55,645.01,645.01,645.01,645.01,0
20201224  05:00,645,645.33,645.33,645,2
20201224  05:05,645.33,645.33,645.33,645.33,0
20201224  05:10,645.33,645.33,645.33,645.33,0
20201224  05:15,645.33,645.33,645.33,645.33,0
20201224  05:20,645.33,645.33,645.33,645.33,0
20201224  05:25,645.33,645.33,645.33,645.33,0
20201224  05:30,645.33,645.33,645.33,645.33,0
20201224  05:35,645.33,645.33,645.33,645.33,0
20201224  05:40,645.33,645.33,645.33,645.33,0
20201224  05:45,645.45,645.45,645.45,645.45,1
20201224  05:50,645.6,645.6,645.6,645.6,2
20201224  05:55,645.6,644.96,645.6,644.96,8
20201224  06:00,644.6,644.55,644.6,644.53,5
20201224  06:05,644.55,644.55,644.55,644.55,0
20201224  06:10,644.55,644.55,644.55,644.55,0
20201224  06:15,644.55,644.55,644.55,644.55,0
20201224  06:20,644.55,644.55,644.55,644.55,0
20201224  06:25,644.55,644.55,644.55,644.55,0
20201224  06:30,644.55,644.55,644.55,644.55,0
20201224  06:35,644.11,644,644.11,644,3
20201224  06:40,644,644,644,644,0
20201224  06:45,644,644,644,644,0
20201224  06:50,645,646,646.2,645,14
20201224  06:55,646,646,646,646,0
20201224  07:00,644.87,644.44,645.09,644.11,13
20201224  07:05,644.45,644.72,644.72,644.44,4
20201224  07:10,644.78,644.78,644.78,644.78,1
20201224  07:15,644.5,643.75,644.5,643.5,28
20201224  07:20,643.58,644.5,644.5,643.5,29
20201224  07:25,644.5,644.01,644.5,644.01,6
20201224  07:30,644.5,644.54,644.9,644.5,9
20201224  07:35,644.54,644.54,644.54,644.54,0
20201224  07:40,644.2,643.27,644.2,643.27,32
20201224  07:45,643.2,643.05,643.2,642.85,42
20201224  07:50,643.16,644,644,643.16,20
20201224  07:55,643.77,644.25,644.37,643.76,14
20201224  08:00,644.34,643.51,645,642.7,79
20201224  08:05,643.47,644.25,644.25,643.26,87
20201224  08:10,644.25,644.6,644.6,644.16,15
20201224  08:15,644.5,644.44,644.56,644.44,5
20201224  08:20,644.2,643.88,644.2,643.55,8
20201224  08:25,643.88,644.1,644.1,643.88,10
20201224  08:30,644.1,644,644.1,644,15
20201224  08:35,643.5,643.03,643.99,642.75,33
20201224  08:40,643.1,642.9,643.1,642.9,19
20201224  08:45,643.1,643.1,643.1,642.55,88
20201224  08:50,643.45,643.11,643.45,643,4
20201224  08:55,643.06,642.6,643.3,642.6,18
20201224  09:00,642.6,642.3,642.6,642,23
20201224  09:05,642.4,642.63,642.63,642.06,26
20201224  09:10,642.51,642.98,642.98,642.51,14
20201224  09:15,642.95,643.65,643.65,642.95,17
20201224  09:20,643.88,644.05,645,643.68,78
20201224  09:25,644,642.99,644,642.97,45
20201224  09:30,642.99,642.52,647.87,641,5288
20201224  09:35,642.44,646.2,648.8,641.6,4428
20201224  09:40,646.42,644.93,646.51,643,3631
20201224  09:45,645.13,648.35,648.49,644,3313
20201224  09:50,648.32,650.25,652.22,648.23,6840
20201224  09:55,650.01,649.71,651.66,648.3,3231
20201224  10:00,649.59,653.19,654.55,649.5,5320
20201224  10:05,653.21,657.02,658,651.61,7087
20201224  10:10,657.07,656.79,659.73,656.12,6201
20201224  10:15,656.66,657.11,657.44,655.26,3701
20201224  10:20,657.09,656.5,658.88,655.57,3524
20201224  10:25,656.57,657.35,658.93,656.28,2913
20201224  10:30,657.34,661.67,661.69,657.28,6711
20201224  10:35,661.65,664.46,664.94,660.49,6131
20201224  10:40,664.46,662.91,665,662.67,4210
20201224  10:45,662.93,664.06,664.5,662.34,3344
20201224  10:50,663.96,662.29,665.24,661.1,5472
20201224  10:55,662.25,660.67,662.8,660.4,2566
20201224  11:00,660.69,661.24,662.13,660.51,1721
20201224  11:05,661.04,659.71,661.04,657.64,3275
20201224  11:10,659.81,661.61,662.98,658.84,2953
20201224  11:15,661.79,662.78,663.7,661.75,2294
20201224  11:20,662.69,662.57,663.63,662.41,1718
20201224  11:25,662.65,662.9,663.41,662.54,1089
20201224  11:30,663,661.65,663.24,661.6,1145
20201224  11:35,661.67,663.66,663.82,661.5,1515
20201224  11:40,663.79,662.85,665.65,662.71,5892
20201224  11:45,662.88,664.49,664.69,662.8,2455
20201224  11:50,664.49,665.05,665.72,663.96,3171
20201224  11:55,665.11,665.8,666.01,663.81,3501
20201224  12:00,665.79,662.07,666.09,661.94,3456
20201224  12:05,662.26,661.51,662.48,660.11,3999
20201224  12:10,661.58,663.69,664.46,661.52,2734
20201224  12:15,663.6,661.36,663.71,661,1791
20201224  12:20,661.13,661.51,662.25,660,2727
20201224  12:25,661.5,662.88,662.93,660.47,2047
20201224  12:30,662.89,662.17,663.2,661.73,1921
20201224  12:35,662.05,660.32,662.11,659.93,2453
20201224  12:40,660.45,659.06,660.46,659,2540
20201224  12:45,659.05,661.45,661.68,659,2792
20201224  12:50,661.59,661.75,662.8,661.57,3057
20201224  12:55,661.75,661.66,662.5,661.36,3809
20201224  13:00,661.66,659.99,661.78,659.98,4638
20201224  13:05,659.9,660.27,660.37,659.7,78
20201224  13:10,660.2,659.99,660.31,659.95,53
20201224  13:15,660,659.75,660,659.7,58
20201224  13:20,659.94,660.04,660.25,659.85,101
20201224  13:25,660.01,660.4,660.4,659.8,59
20201224  13:30,660.4,660.28,660.48,660.28,17
20201224  13:35,660,659.88,660.48,659.75,19
20201224  13:40,659.94,659.99,659.99,659.93,15
20201224  13:45,659.83,659.99,659.99,659.83,49
20201224  13:50,659.99,659.99,659.99,659.97,52
20201224  13:55,659.99,659.99,659.99,659.96,29
20201224  14:00,659.99,659.99,659.99,659.97,8
20201224  14:05,659.99,659.98,659.99,659.94,14
20201224  14:10,659.97,659.9,659.99,659.9,18
20201224  14:15,659.99,659.78,659.99,659.78,23
20201224  14:20,659.76,659.91,659.91,659.76,2
20201224  14:25,659.64,659.5,659.87,659,40
20201224  14:30,659.57,659.75,659.75,659.57,3
20201224  14:35,659.75,659.3,659.75,659.3,6
20201224  14:40,659.3,659.15,659.3,659.15,5
20201224  14:45,659.13,659.35,659.35,659,9
20201224  14:50,659,659.1,659.11,659,10
20201224  14:55,659.25,659.18,659.25,659.17,9
20201224  15:00,659.35,660,660,659.35,6
20201224  15:05,659.89,659.7,659.9,659.7,13
20201224  15:10,659.6,659.5,659.6,659.5,10
20201224  15:15,659.5,659.5,659.5,659.5,0
20201224  15:20,659.2,659.15,659.4,659.15,8
20201224  15:25,659.15,659.25,659.25,659.15,15
20201224  15:30,659.48,659.48,659.48,659.47,1
20201224  15:35,659.5,659.5,659.51,659.5,1
20201224  15:40,659.26,659.24,659.27,659.1,13
20201224  15:45,659.5,659.5,659.5,659.49,40
20201224  15:50,659.27,659.2,659.27,659.2,6
20201224  15:55,659.15,659.61,660,659.15,34
20201224  16:00,659.61,659.61,659.61,659.61,0
20201224  16:05,659.51,659.5,660,659.5,19
20201224  16:10,659.99,659.99,660,659.99,6
20201224  16:15,660,659.53,660.25,659.53,9
20201224  16:20,659.53,659.53,659.53,659.53,0
20201224  16:25,659.56,659.79,659.79,659.5,8
20201224  16:30,659.79,659.79,659.79,659.79,0
20201224  16:35,660,660.01,660.01,660,4
20201224  16:40,660.49,660.53,660.53,659.86,16
20201224  16:45,660.53,660.53,660.53,660.53,0
20201224  16:50,660,660,660,660,2
20201224  16:55,660,660,660,660,1
20201228  04:00,662,664.04,665.06,662,25
20201228  04:05,664,663,664.39,663,24
20201228  04:10,663.1,662.51,663.1,662,12
20201228  04:15,662.97,664,664,662.94,8
20201228  04:20,663.5,663.5,663.51,663.5,1
20201228  04:25,663.4,663.62,663.62,663.4,2
20201228  04:30,663.55,663.99,663.99,663.51,9
20201228  04:35,663.53,663.84,663.84,663.53,6
20201228  04:40,663.7,663.5,663.75,663.5,18
20201228  04:45,663.2,662.8,663.2,662.8,8
20201228  04:50,663.7,663.8,663.8,663.7,4
20201228  04:55,663.8,664.01,664.1,663.8,6
20201228  05:00,664.45,664.8,664.8,664.45,2
20201228  05:05,664.4,664.75,665,664.4,12
20201228  05:10,664.5,664.2,664.5,664.2,3
20201228  05:15,664.2,664.2,664.2,664.2,0
20201228  05:20,663.14,663.14,663.14,663.14,1
20201228  05:25,663.72,663.41,663.72,663.41,2
20201228  05:30,663.5,662.3,663.51,662.3,8
20201228  05:35,662.64,662.64,662.64,662.64,1
20201228  05:40,662.36,662.51,662.51,662.36,8
20201228  05:45,662.51,662.51,662.51,662.51,0
20201228  05:50,662.9,662.99,662.99,662.9,3
20201228  05:55,662.99,662.99,662.99,662.99,0
20201228  06:00,663.89,663.89,663.89,663.89,1
20201228  06:05,664.39,664.52,664.52,664.39,3
20201228  06:10,665,666,666.38,665,25
20201228  06:15,666,666,666,665,27
20201228  06:20,666.58,667.48,667.51,666.58,5
20201228  06:25,667.49,667.49,667.49,667.49,2
20201228  06:30,666.01,666.01,666.01,666.01,1
20201228  06:35,666.01,666,666.01,666,2
20201228  06:40,666.04,666,666.23,666,5
20201228  06:45,666,666,666,666,0
20201228  06:50,666.13,666.12,666.13,666.12,4
20201228  06:55,666.26,665.99,666.26,665.99,5
20201228  07:00,666,663.03,666.4,663,289
20201228  07:05,663.01,661.6,663.05,661.17,137
20201228  07:10,662,662.74,663.6,662,131
20201228  07:15,662.47,663.19,663.79,662.46,42
20201228  07:20,663.44,664.7,665,663.44,179
20201228  07:25,664,664.99,665.34,664,84
