,equity
0,-73.12
1,-102.82
2,3.38
3,-33.74
4,7.81
5,-20.99
6,49.96
7,27.91
8,-15.59
9,0.76
10,-46.49
11,8.95
12,-14.71
13,-31.87
14,-24.98
15,-44.74
16,-59.98
17,-124.42
18,-156.82
19,-222.6
20,-254.28
21,-302.46
22,-210.94
23,-33.4
24,-64.75
25,-47.59
26,-97.42
27,-118.87
28,-40.66
29,-21.63
30,-41.65
31,-89.39
32,-135.26
33,-154.95
34,-174.09
35,-227.25
36,-268.29
37,-295.77
38,-335.61
39,-335.25
40,-344.73
41,-393.22
42,-433.39
43,-447.82
44,-327.18
45,-210.44
46,192.9
47,306.5
48,553.0
49,838.6
50,1005.55
51,997.39
52,1287.47
53,1238.19
54,1535.01
55,1823.73
56,1769.5
57,1851.1
58,1793.81
59,1887.14
60,1871.67
61,2299.51
62,2512.47
63,2787.36
64,2741.8
65,2827.99
66,2800.81
67,2975.59
68,2946.61
69,2988.19
70,3012.89
71,2951.14
72,2906.87
73,2872.29
74,2801.61
75,2965.2
76,2869.5
77,3136.14
78,3116.34
79,3106.0
