,tradeId,type1,datetime1,price1,type2,datetime2,price2,quantity,profit,equity,entryBarIndex,exitBarIndex
0,1,Entry Long,"20201203, 14:45:00",597.95,Exit Long,"20201203, 15:05:00",593.38,16,-73.12,-73.12,513,517
1,2,Entry Long,"20201207, 11:10:00",628.26,Exit Long,"20201207, 12:55:00",626.28,15,-29.7,-102.82,854,875
2,3,Entry Short,"20201209, 11:15:00",637.24,Exit Short,"20201209, 12:20:00",630.16,15,106.2,3.38,1239,1252
3,4,Entry Short,"20201211, 13:25:00",604.65,Exit Short,"20201211, 13:30:00",606.97,16,-37.12,-33.74,1649,1650
4,5,Entry Long,"20201214, 11:50:00",632.75,Exit Long,"20201214, 13:25:00",635.52,15,41.55,7.81,1822,1841
5,6,Entry Long,"20201214, 13:35:00",638.57,Exit Long,"20201214, 13:50:00",636.65,15,-28.8,-20.99,1843,1846
6,7,Entry Long,"20201217, 11:55:00",638.38,Exit Long,"20201217, 13:35:00",643.11,15,70.95,49.96,2399,2419
7,8,Entry Long,"20201217, 13:50:00",646.44,Exit Long,"20201217, 14:00:00",644.97,15,-22.05,27.91,2422,2424
8,9,Entry Short,"20201221, 12:15:00",656.98,Exit Short,"20201221, 12:35:00",659.88,15,-43.5,-15.59,2787,2791
9,10,Entry Long,"20201224, 11:15:00",661.79,Exit Long,"20201224, 11:45:00",662.88,15,16.35,0.76,3351,3357
10,11,Entry Long,"20201224, 12:15:00",663.6,Exit Long,"20201224, 12:40:00",660.45,15,-47.25,-46.49,3363,3368
11,12,Entry Long,"20201230, 12:50:00",684.3,Exit Long,"20201230, 15:20:00",688.26,14,55.44,8.95,3910,3940
12,13,Entry Long,"20201231, 12:10:00",714.47,Exit Long,"20201231, 14:20:00",712.78,14,-23.66,-14.71,4094,4120
13,14,Entry Long,"20210105, 12:25:00",736.71,Exit Long,"20210105, 12:55:00",735.39,13,-17.16,-31.87,4481,4487
14,15,Entry Long,"20210105, 13:00:00",738.2,Exit Long,"20210105, 13:30:00",738.73,13,6.89,-24.98,4488,4494
15,16,Entry Long,"20210105, 14:10:00",739.46,Exit Long,"20210105, 14:20:00",737.94,13,-19.76,-44.74,4502,4504
16,17,Entry Long,"20210106, 12:45:00",771.27,Exit Long,"20210106, 13:10:00",770.0,12,-15.24,-59.98,4677,4682
17,18,Entry Long,"20210107, 11:50:00",803.84,Exit Long,"20210107, 12:00:00",798.47,12,-64.44,-124.42,4858,4860
18,19,Entry Long,"20210107, 12:05:00",802.7,Exit Long,"20210107, 12:40:00",800.0,12,-32.4,-156.82,4861,4868
19,20,Entry Long,"20210108, 11:55:00",875.8,Exit Long,"20210108, 12:05:00",869.82,11,-65.78,-222.6,5051,5053
20,21,Entry Long,"20210108, 12:10:00",876.64,Exit Long,"20210108, 13:05:00",873.76,11,-31.68,-254.28,5054,5065
21,22,Entry Short,"20210111, 11:05:00",835.88,Exit Short,"20210111, 12:10:00",840.26,11,-48.18,-302.46,5233,5246
22,23,Entry Short,"20210111, 12:25:00",836.82,Exit Short,"20210111, 13:30:00",828.5,11,91.52,-210.94,5249,5262
23,24,Entry Short,"20210111, 14:50:00",825.62,Exit Short,"20210111, 15:25:00",809.48,11,177.54,-33.4,5278,5285
24,25,Entry Long,"20210112, 11:20:00",861.66,Exit Long,"20210112, 11:55:00",858.81,11,-31.35,-64.75,5428,5435
25,26,Entry Short,"20210115, 11:40:00",841.74,Exit Short,"20210115, 13:25:00",840.18,11,17.16,-47.59,6008,6029
26,27,Entry Long,"20210201, 12:55:00",832.81,Exit Long,"20210201, 13:05:00",828.28,11,-49.83,-97.42,7942,7944
27,28,Entry Long,"20210201, 13:10:00",830.6,Exit Long,"20210201, 13:20:00",828.65,11,-21.45,-118.87,7945,7947
28,29,Entry Long,"20210201, 13:55:00",832.9,Exit Long,"20210201, 16:00:00",840.01,11,78.21,-40.66,7954,7979
29,30,Entry Long,"20210202, 11:15:00",872.05,Exit Long,"20210202, 11:25:00",873.78,11,19.03,-21.63,8114,8116
30,31,Entry Long,"20210202, 12:15:00",876.52,Exit Long,"20210202, 13:20:00",874.7,11,-20.02,-41.65,8126,8139
31,32,Entry Short,"20210203, 11:30:00",855.46,Exit Short,"20210203, 11:40:00",859.8,11,-47.74,-89.39,8309,8311
